Id,Model,Price,Age_08_04,Mfg_Year,KM,HP,cc,Doors,Gears,Quarterly_Tax,Weight
430,TOYOTA Corolla 1.6 VVT-i L. Sol Wagon Stationwagen,12500,54,2000,84598,110,1600,5,5,19,1075
431,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10500,50,2000,83567,110,1600,5,5,85,1075
432,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12950,50,2000,83106,110,1600,5,5,85,1075
433, TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12200,50,2000,82805,110,1600,3,5,69,1040
434,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,10950,50,2000,82735,97,1400,3,5,69,1030
435, TOYOTA Corolla 1.6 LB LINEA SOL 4/5-Doors,10950,54,2000,81905,110,1600,5,5,19,1105
436,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11290,49,2000,80320,110,1600,3,5,85,1070
437,TOYOTA Corolla 1.4 VVT-i Linea Sol HB 2/3-Doors,10750,49,2000,80090,97,1400,3,5,69,1030
438,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10895,53,2000,79800,110,1600,5,5,85,1075
439, TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11500,47,2000,78785,110,1600,5,5,197,1119
440, TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,9750,48,2000,78600,110,1600,5,5,85,1075
441,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10250,55,2000,77780,110,1600,3,5,69,1040
442,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,12500,49,2000,77648,110,1600,4,5,69,1030
443, TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11950,54,2000,77270,110,1600,4,5,69,1035
444,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10750,50,2000,76167,97,1400,5,5,85,1060
445, TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11450,46,2000,75249,110,1600,4,5,69,1035
446,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,54,2000,75231,110,1600,5,5,85,1080
447,TOYOTA Corolla 1.6 G6 HB 2/3-Doors,11750,48,2000,75045,110,1600,3,6,85,1055
448, TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA AUT4 4/5-Doors,10950,50,2000,74849,110,1600,4,5,85,1060
449, TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,55,2000,74715,110,1600,5,5,85,1080
450, TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,10995,49,2000,74656,69,1900,3,5,185,1105
451,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11450,56,2000,74500,97,1400,3,5,69,1025
452, TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,8900,49,2000,74494,110,1600,5,5,85,1075
453,TOYOTA Corolla 1.6 4/5-Doors,10500,50,2000,73634,110,1587,5,5,85,1075
454,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,47,2000,73403,110,1600,5,5,85,1075
455, TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,11450,49,2000,73175,97,1400,3,5,69,1030
456,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,12000,52,2000,73000,110,1600,3,5,85,1055
457,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11950,50,2000,72242,110,1600,3,5,85,1070
458, TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9850,53,2000,72000,97,1400,3,5,69,1025
459, TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10950,54,2000,71725,110,1600,4,5,69,1035
460,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,10950,54,2000,71276,110,1600,5,5,85,1080
461,TOYOTA Corolla 1.9 D Linea Terra 2/3-Doors,8695,50,2000,70440,69,1900,3,5,185,1105
462,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10990,53,2000,70239,110,1600,3,5,69,1040
463,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9500,55,2000,69813,97,1400,3,5,69,1025
464, TOYOTA Corolla 1.3 16V HATCHB G6 2/3-Doors,11950,49,2000,69659,86,1300,3,6,69,1025
465,TOYOTA Corolla 1.4 16V VVT I LIFTB SOL 4/5-Doors,10750,46,2000,69574,97,1400,5,5,85,1065
466, TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,8750,47,2000,69000,69,1900,5,5,185,1140
467,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,8750,49,2000,68565,110,1600,4,5,69,1030
468,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,11450,55,2000,68520,72,2000,3,5,185,1115
469,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,46,2000,68414,97,1400,3,5,69,1025
470,TOYOTA Corolla 1.6 16V WAGON LINEA LUNA Stationwagen,11950,56,2000,66777,110,1600,5,5,85,1090
471, TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,13950,52,2000,66527,110,1600,5,5,85,1080
472, TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,11250,54,2000,66063,110,1600,5,5,85,1090
473,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10900,50,2000,65471,97,1400,5,5,85,1060
474,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9750,56,2000,65400,97,1400,3,5,69,1025
475,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,52,2000,65170,97,1400,3,5,69,1025
476,TOYOTA Corolla 1.6 sol lb 4/5-Doors,11950,56,2000,65000,110,1600,5,5,19,1075
477,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10450,48,2000,64193,110,1600,3,5,69,1040
478,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,54,2000,64000,97,1400,3,5,69,1025
479,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10250,54,2000,63792,110,1600,5,5,85,1075
480,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,9930,53,2000,63635,110,1600,4,5,69,1035
481, TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,10500,54,2000,63135,110,1600,3,5,69,1050
482,TOYOTA Corolla 1.6 SDN LINEA SOL 4/5-Doors,11950,54,2000,63123,110,1600,4,5,69,1035
483,TOYOTA Corolla 1.9 D Wagon Stationwagen,11500,48,2000,63000,69,1900,5,5,185,1140
484,TOYOTA Corolla 1.6 SDN LINEA SOL 4/5-Doors,11500,55,2000,63000,110,1600,4,5,69,1035
485,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11450,54,2000,62987,110,1600,5,5,85,1080
486, TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,9900,56,2000,62751,110,1600,3,5,69,1050
487,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9500,54,2000,62519,97,1400,3,5,69,1025
488, TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10500,50,2000,62280,97,1400,5,5,85,1060
489, TOYOTA Corolla 1.6 VVTI Linea Terra liftback 4/5-Doors,10750,50,2000,61672,110,1600,5,5,85,1075
490,TOYOTA Corolla LIFTBACK 1.9 D Linea Terra 4/5-Doors,8950,54,2000,61000,69,2000,5,5,185,1140
491, TOYOTA Corolla 1.6 16V HATCHB S 2/3-Doors,12000,56,2000,61000,110,1600,3,5,69,1050
492,TOYOTA Corolla ! 1.6-16v vvt-i sol airco sedan 4/5-Doors,9940,53,2000,60558,110,1600,4,5,19,1105
493, TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10950,47,2000,60348,110,1600,4,5,69,1030
494, TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10750,54,2000,60239,110,1600,5,5,85,1075
495, TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,9799,51,2000,59000,97,1400,3,5,69,1025
496,TOYOTA Corolla 1.4 VVT-i Linea Luna liftback 4/5-Doors,11750,51,2000,58761,97,1300,5,5,85,1060
497,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11950,54,2000,58745,110,1600,4,5,69,1035
498,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11250,52,2000,58596,110,1600,3,5,69,1045
499, TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,11750,54,2000,58530,110,1600,5,5,85,1075
500,TOYOTA Corolla 1.6 16V HATCHB S 2/3-Doors,10950,55,2000,58377,110,1600,3,5,69,1050
501, TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11250,56,2000,58142,110,1600,5,5,85,1080
502,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,53,2000,57948,97,1400,3,5,69,1025
503,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9700,51,2000,57645,110,1600,5,5,85,1080
504, TOYOTA Corolla 1.6 SDN LINEA SOL 4/5-Doors,11950,47,2000,57500,110,1600,4,5,19,1105
505, TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,9900,53,2000,57475,110,1600,3,5,69,1040
506,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,9990,55,2000,56743,110,1600,3,5,69,1045
507, TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9475,48,2000,56675,97,1400,3,5,69,1025
508,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11500,54,2000,55877,110,1600,5,5,85,1075
509,TOYOTA Corolla 1.6 VVTI Linea Sol Sedan 4/5-Doors,11950,53,2000,55500,110,1600,4,5,69,1035
510, TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11500,55,2000,54900,97,1400,5,5,85,1060
511,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10500,50,2000,54465,110,1600,5,5,85,1075
512, TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10900,46,2000,53700,97,1400,5,5,85,1060
513, TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11700,52,2000,53561,97,1400,5,5,85,1060
514,TOYOTA Corolla 1.6 16v Liftback Linea So 4/5-Doors,11900,51,2000,53408,110,1600,5,5,85,1080
515, TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,13950,51,2000,53268,110,1600,5,5,85,1080
516, TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,49,2000,53116,97,1400,3,5,69,1025
517,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10500,56,2000,52448,97,1400,3,5,69,1025
518,TOYOTA Corolla 1.4 HB LINEA TERRA 2/3-Doors,10750,55,2000,52149,97,1400,3,5,19,1085
519,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,11950,55,2000,52141,110,1600,5,5,85,1070
520,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10000,56,2000,52000,97,1400,3,5,69,1025
521, TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10495,48,2000,50967,97,1400,5,5,85,1060
522,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11450,50,2000,50400,110,1600,5,5,85,1080
523, TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9400,54,2000,50000,97,1400,3,5,69,1025
524,TOYOTA Corolla 1.3 G6 liftback 4/5-Doors,11950,51,2000,50000,86,1300,5,5,69,1045
525,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,9650,53,2000,49969,110,1600,5,5,85,1075
526, TOYOTA Corolla 1.6 HB LINEA TERRA 2/3-Doors,18950,49,2000,49568,110,1600,3,5,19,1105
527, TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,11450,51,2000,49473,110,1600,3,5,85,1055
528,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,10250,52,2000,49432,110,1600,3,5,69,1050
529,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11450,48,2000,49417,110,1600,3,5,69,1045
530,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,54,2000,49366,97,1400,3,5,69,1025
531, TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,10500,56,2000,48731,110,1600,3,5,85,1055
532,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13750,54,2000,48370,110,1600,5,5,85,1080
533,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,48,2000,48071,97,1400,3,5,69,1025
534,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10250,54,2000,47852,110,1600,4,5,69,1030
535, TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,10850,54,2000,47768,110,1600,3,5,85,1055
536, TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11895,52,2000,47689,110,1600,5,5,85,1075
537,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,12950,53,2000,47451,110,1600,3,5,85,1055
538,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,50,2000,47219,110,1600,5,5,85,1080
539, TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,10750,56,2000,47211,110,1600,5,5,85,1070
540, TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,9550,54,2000,46856,97,1400,5,5,85,1060
541, TOYOTA Corolla 1.3 Linea Terra liftback 4/5-Doors,10950,56,2000,46500,86,1300,5,5,69,1035
542,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11750,52,2000,46449,110,1600,4,5,69,1035
543, TOYOTA Corolla LIFTBACK 1.6 Linea terra 4/5-Doors,10950,47,2000,46391,110,1600,5,5,85,1075
544,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,12450,54,2000,46230,110,1600,3,5,85,1055
545, TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10500,52,2000,46029,110,1600,4,5,69,1030
546, TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10900,50,2000,46000,97,1400,3,5,69,1025
547, TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12950,50,2000,45900,110,1600,5,5,85,1075
548,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10950,47,2000,45850,97,1400,5,5,85,1060
549,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12500,56,2000,45336,110,1600,5,5,85,1080
550, TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,55,2000,44537,97,1400,3,5,69,1025
551,TOYOTA Corolla 1.3 16V HATCHB G6 2/3-Doors,10750,56,2000,43700,86,1300,3,5,69,1025
552, TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,12500,48,2000,43120,97,1400,3,5,69,1030
554,TOYOTA Corolla 1.6 Hatchback 2/3-Doors,10450,49,2000,41710,110,1600,3,5,69,1040
555,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10750,52,2000,41700,97,1400,3,5,69,1025
556, TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,12950,49,2000,41636,110,1600,5,5,19,1105
557,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10995,50,2000,41273,97,1400,5,5,85,1060
558,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL AUT4 2/3-Doors,11950,49,2000,40836,110,1600,3,5,85,1075
559,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11250,50,2000,40400,97,1400,5,5,85,1060
560,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,11950,47,2000,40361,110,1600,5,5,85,1090
561,TOYOTA Corolla 1.3 16V LIFTB G6 4/5-Doors,13750,54,2000,40325,86,1300,5,5,69,1045
562, TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11000,47,2000,40000,110,1600,5,5,85,1080
563,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13500,50,2000,39706,110,1600,5,5,85,1080
564, TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10950,54,2000,39291,110,1600,3,5,69,1040
565, TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10750,54,2000,39000,97,1400,3,5,69,1025
566,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,47,2000,38900,97,1400,3,5,69,1025
567,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,12950,51,2000,38403,110,1600,3,5,85,1055
568, TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9750,56,2000,37461,97,1400,3,5,69,1025
569,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10900,54,2000,37000,97,1400,3,5,69,1025
570, TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10995,55,2000,36406,110,1600,4,5,69,1035
571,TOYOTA Corolla 1.4 16V VVT I LIFTB SOL 4/5-Doors,10750,48,2000,36005,97,1400,5,5,85,1065
572, TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10950,52,2000,36000,110,1600,5,5,85,1075
573,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13000,49,2000,36000,110,1600,5,5,85,1080
574, TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,12950,45,2000,36000,110,1600,3,5,85,1070
575,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11500,52,2000,35823,110,1600,5,5,85,1075
576, TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,56,2000,35230,97,1400,3,5,69,1025
577,TOYOTA Corolla 1.6 16V HATCHB LINEA LUNA 2/3-Doors,11710,48,2000,35142,110,1600,3,5,85,1055
578,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9980,49,2000,34890,97,1400,3,5,69,1025
579,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12250,51,2000,34882,110,1600,5,5,85,1075
580, TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11500,46,2000,34000,110,1600,5,5,85,1075
581,TOYOTA Corolla 1.6 16v Liftback Linea Sol 4/5-Doors,11950,56,2000,33998,110,1600,5,5,85,1080
582,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,11500,55,2000,33230,110,1600,3,5,69,1050
583,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11900,46,2000,33021,110,1600,5,5,85,1080
584, TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,11930,49,2000,31999,97,1400,3,5,69,1030
585,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10500,52,2000,31579,97,1400,3,5,69,1025
586,TOYOTA Corolla 1.4 HB Terra 2/3-Doors,8950,56,2000,31000,97,1400,3,5,69,1025
587,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10450,46,2000,30806,97,1400,5,5,85,1060
588, TOYOTA Corolla 1.3 16V WAGON LINEA TERRA Stationwagen,10500,55,2000,30461,86,1300,5,5,69,1050
589,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL AUT4 2/3-Doors,12950,50,2000,29686,110,1600,3,5,85,1075
590, TOYOTA Corolla 1.3 16V HATCHB G6 2/3-Doors,9950,55,2000,29650,86,1300,3,6,69,1025
591, TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,12900,52,2000,29500,110,1600,3,5,85,1055
592,TOYOTA Corolla 1.4 HB LINEA TERRA 2/3-Doors,9950,48,2000,28656,97,1400,3,5,19,1085
593,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,55,2000,27500,97,1400,3,5,69,1025
594, TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10950,48,2000,26938,110,1600,3,5,69,1040
595,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10950,53,2000,26624,97,1400,5,5,85,1060
596, TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,47,2000,26221,97,1400,3,5,69,1025
597,TOYOTA Corolla LIFTBACK 1.4 16V VVTI TERRA 4/5-Doors,10950,50,2000,22648,97,1400,5,5,85,1060
598,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10800,50,2000,22500,97,1400,3,5,69,1025
599, TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10500,56,2000,19313,97,1400,3,5,69,1025
600, TOYOTA Corolla 1.6 SDN LINEA TERRA 4/5-Doors,10450,50,2000,17619,110,1600,4,5,69,1030
601, TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10600,51,2000,17069,97,1400,3,5,69,1025
602,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10450,48,2000,15000,97,1400,3,5,69,1025
603, TOYOTA Corolla 1.4 16V VVT I LIFTB SOL 4/5-Doors,12950,50,2000,10210,97,1400,5,5,85,1065
604,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11250,47,2000,5309,110,1600,3,5,85,1070
605,TOYOTA Corolla 2.0 d HB Diesel 2/3-Doors,7500,50,2000,1,90,2000,3,5,64,1260
606,TOYOTA Corolla 1.4 VVT-i Terra 2/3-Doors,8950,52,2000,31000,97,1398,3,5,69,1025
607,TOYOTA Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,6950,58,1999,205000,72,2000,4,5,185,1100
608,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,7900,68,1999,204250,72,2000,3,5,185,1115
609,TOYOTA Corolla 1.3 16V SEDAN LINEA TERRA 4/5-Doors,5950,68,1999,194545,86,1300,4,5,69,1000
610,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,7500,59,1999,190900,72,2000,3,5,185,1115
611,TOYOTA Corolla 2.0 DSL LIFTB LINEA LUNA 4/5-Doors,7500,62,1999,183500,72,2000,5,5,185,1140
612,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,6900,65,1999,176184,72,2000,3,5,185,1115
613,TOYOTA Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,5751,67,1999,174833,72,2000,4,5,185,1100
614,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,6950,68,1999,155720,86,1300,3,5,69,1015
615,TOYOTA Corolla 1.6 Linea Terra Comfort 4/5-Doors,7950,67,1999,155500,110,1600,5,5,69,1050
616,TOYOTA Corolla 2.0 DSL HATCHB LINEA LUNA 2/3-Doors,7750,59,1999,154783,72,2000,3,5,185,1120
617,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,7950,64,1999,154462,72,2000,5,5,185,1135
618,TOYOTA Corolla 1.6 16V HATCHB G6 2/3-Doors,8250,64,1999,150585,110,1600,3,6,85,1065
619,TOYOTA Corolla 2.0diesel Stationwagen,6250,67,1999,149000,90,2000,5,5,64,1135
620,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,9500,62,1999,147636,72,2000,5,5,185,1135
621,TOYOTA Corolla 2.0D TERRA LIFTBACK 4/5-Doors,6900,59,1999,144521,72,2000,5,5,64,1135
622,TOYOTA Corolla 1.6 16V G6 2/3-Doors,8450,64,1999,144000,110,1600,3,6,72,1065
623,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,7350,65,1999,140168,72,2000,3,5,185,1115
624,TOYOTA Corolla 1.6 16V WAGON LINEA TERRA Stationwagen,8950,68,1999,140000,110,1600,5,5,85,1085
625,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,6900,60,1999,139800,72,2000,3,5,185,1115
626,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,8950,59,1999,137050,110,1600,3,5,197,1078
627,TOYOTA Corolla 1.6 16V HATCHB G6 2/3-Doors,8750,61,1999,136956,110,1600,3,6,85,1065
628,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,7950,67,1999,135337,110,1600,5,5,197,1120
629,TOYOTA Corolla 2.0 DSL HATCHB LINEA LUNA 2/3-Doors,8950,64,1999,133769,72,2000,3,5,185,1120
630,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,8950,58,1999,133405,72,2000,5,5,185,1135
631,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,8950,65,1999,132807,72,2000,5,5,185,1135
632,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,7950,64,1999,132393,72,2000,5,5,185,1135
633,TOYOTA Corolla 1.6 16V HATCHB S 2/3-Doors,7750,60,1999,130270,110,1600,3,5,69,1050
634,TOYOTA Corolla 2.0D XL Sedan 4/5-Doors,7500,59,1999,130000,72,2000,4,5,185,1135
635,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,8950,67,1999,127000,72,2000,5,5,185,1135
636,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,9800,67,1999,126800,72,2000,5,5,185,1135
637,TOYOTA Corolla 1.6 16V WAGON LINEA TERRA Stationwagen,9450,66,1999,126452,110,1600,5,5,85,1085
638,TOYOTA Corolla Sw 20D Linea Terra Stationwagen,8950,62,1999,125175,116,2000,5,5,185,1150
639,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,8750,68,1999,125000,72,2000,3,5,185,1115
640,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,10500,61,1999,123000,72,2000,5,5,185,1135
641,TOYOTA Corolla 1.3 16V WAGON LINEA TERRA Stationwagen,7995,59,1999,121626,86,1300,5,5,69,1050
642,TOYOTA Corolla 1.6 16V WAGON LINEA LUNA Stationwagen,10450,64,1999,120400,110,1600,5,5,85,1090
643,TOYOTA Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,9950,66,1999,120000,72,2000,4,5,185,1100
644,TOYOTA Corolla 1.6 16V HATCHB LINEA LUNA 2/3-Doors,9950,68,1999,119541,110,1600,3,5,85,1055
645,TOYOTA Corolla 1.6 VVT-i Linea Terra Comfort 4/5-Doors,8950,68,1999,119500,110,1600,5,5,85,1070
646,TOYOTA Corolla 1.6 16V SEDAN LINEA TERRA 4/5-Doors,7950,68,1999,119289,110,1600,4,5,69,1035
